rawGeofenceID,fullRegionID,geofenceDistance,geofenceType,storeID,storeLocationtext
A3D870A1A3A8446EBF14BE56D4A53387,gimbal:place:A3D870A1A3A8446EBF14BE56D4A53387:2365-1,2365-1,storeEntry,2365,Bissonnet & Weslayan Street
2A3ED4C0056D43AE90746B6B81A82C3D,gimbal:place:2A3ED4C0056D43AE90746B6B81A82C3D:2365,2365,driveToStore,2365,Bissonnet & Weslayan Street
D684AD03B7714496A4022F8DCDF4EE22,gimbal:place:D684AD03B7714496A4022F8DCDF4EE22:2366,2366,driveToStore,2366,Fm 1960 & Eastex Freeway
EBE8B07E46E34CEA82EC85C65FCC70B0,gimbal:place:EBE8B07E46E34CEA82EC85C65FCC70B0:2366-1,2366-1,storeEntry,2366,Fm 1960 & Eastex Freeway
89B764595DF744559E41B97E7EC4D7DB,gimbal:place:89B764595DF744559E41B97E7EC4D7DB:2367-1,2367-1,storeEntry,2367,65 Calle Estrella
64FF6A46CEB54E5DABEA814F963F4C6E,gimbal:place:64FF6A46CEB54E5DABEA814F963F4C6E:2367,2367,driveToStore,2367,65 Calle Estrella
52D3A3DFFADA4DDA867B53461B88DFA0,gimbal:place:52D3A3DFFADA4DDA867B53461B88DFA0:2368-1,2368-1,storeEntry,2368,Northwest Corner Of Pr 1 & Pr 32
8BEB89DBD15A4974BD655D1C1E6E22EA,gimbal:place:8BEB89DBD15A4974BD655D1C1E6E22EA:2368,2368,driveToStore,2368,Northwest Corner Of Pr 1 & Pr 32
4AB90F1F5EED41E5B400140BE00BD70E,gimbal:place:4AB90F1F5EED41E5B400140BE00BD70E:2369,2369,driveToStore,2369,48Th & Van Dorn
F838EFC1465549C48FA5AB99FF04CDF6,gimbal:place:F838EFC1465549C48FA5AB99FF04CDF6:2369-1,2369-1,storeEntry,2369,48Th & Van Dorn
1AB0D1CAD98C488BAE3754EE9D43020C,gimbal:place:1AB0D1CAD98C488BAE3754EE9D43020C:2370-1,2370-1,storeEntry,2370,Northwest Corner Of Pr 129 & Union St
9707A92F030140F8AB04BA71B754B501,gimbal:place:9707A92F030140F8AB04BA71B754B501:2370,2370,driveToStore,2370,Northwest Corner Of Pr 129 & Union St
B543314822C740108492A1B3BFAD4B07,gimbal:place:B543314822C740108492A1B3BFAD4B07:2371-1,2371-1,storeEntry,2371,Deerpath & Western
52D29D6E1D72456588177E0F9547F130,gimbal:place:52D29D6E1D72456588177E0F9547F130:2371,2371,driveToStore,2371,Deerpath & Western
108FAADB8E834CB6802233A219F96F2F,gimbal:place:108FAADB8E834CB6802233A219F96F2F:2372,2372,driveToStore,2372,13Th & O Street
BF6A7AA595CF4914952774E6E4B22303,gimbal:place:BF6A7AA595CF4914952774E6E4B22303:2372-1,2372-1,storeEntry,2372,13Th & O Street
2196FFEAFA7448A28852CA2F8ED2986A,gimbal:place:2196FFEAFA7448A28852CA2F8ED2986A:2373,2373,driveToStore,2373,Braeswood & Chimney Rock
3E99301CDE1B42608E882777A759FA53,gimbal:place:3E99301CDE1B42608E882777A759FA53:2373-1,2373-1,storeEntry,2373,Braeswood & Chimney Rock
9F30C2158736470984AA6BE1BE099A63,gimbal:place:9F30C2158736470984AA6BE1BE099A63:2374-1,2374-1,storeEntry,2374,Northeast Corner Of Pr 2 & Calle Carolina
7BEAC56D2A7743F5BCA588758B9F60B5,gimbal:place:7BEAC56D2A7743F5BCA588758B9F60B5:2374,2374,driveToStore,2374,Northeast Corner Of Pr 2 & Calle Carolina
A85F97BD5CD24978AD70F11674C2E557,gimbal:place:A85F97BD5CD24978AD70F11674C2E557:2375,2375,driveToStore,2375,Main & Madison
C1E35FBAF596436896CFA74A5B2A8DAE,gimbal:place:C1E35FBAF596436896CFA74A5B2A8DAE:2375-1,2375-1,storeEntry,2375,Main & Madison
5E25E81C91634B41B81EAF9DCC7A80B1,gimbal:place:5E25E81C91634B41B81EAF9DCC7A80B1:2376,2376,driveToStore,2376,Red & Bird Road
57504B1F8A894B8699178A8756C1D134,gimbal:place:57504B1F8A894B8699178A8756C1D134:2376-1,2376-1,storeEntry,2376,Red & Bird Road
DC5664D30BA048849CDF19CB3D9CE740,gimbal:place:DC5664D30BA048849CDF19CB3D9CE740:2377-1,2377-1,storeEntry,2377,Douglas Road & 7Th Street
7DBD2B5A0C47458EA4E82540EFED6A24,gimbal:place:7DBD2B5A0C47458EA4E82540EFED6A24:2377,2377,driveToStore,2377,Douglas Road & 7Th Street
F6F5A11796424E90B45A65EF4F3355CC,gimbal:place:F6F5A11796424E90B45A65EF4F3355CC:2378-1,2378-1,storeEntry,2378,Broadway & Taylor
